avr_riseTime_1,avr_fallTime_1,avr_riseLevel_1,avr_fallLevel_1,Usuario
4.8,5,312.9055577,-355.9759467,1
4.6,5.2,312.511106,-349.2888328,1
4.5,5,310.8591725,-342.1976823,1
4.4,5.2,308.4006095,-340.074301,1
4.8,5.2,309.243406,-346.3605844,1
4.5,5,302.6703301,-335.1446637,1
4.4,5.2,316.3885834,-340.9808363,1
5,5,316.952951,-349.2114075,1
4.6,5.2,318.0927697,-349.01196,1
5,5,322.2786411,-347.303381,1
4.8,5.2,328.8334732,-356.7002311,1
4.6,5,324.9968809,-344.9251819,1
5,5,326.440434,-361.4086359,1
4.6,5,320.5172264,-357.2384793,1
4.8,5,322.7461112,-356.8337361,1
4.6,5,316.2345346,-357.2546689,1
4.8,5.2,298.9501217,-324.4384042,1
4.6,5,299.9417717,-348.5874368,1
4.8,5,300.2087286,-352.3741827,1
5,5,319.2617086,-355.5863014,1
5,5,308.3319963,-338.1383093,1
4.6,5.4,297.3536775,-334.2246237,1
4.8,5.2,296.2772001,-336.1570416,1
5,5,313.9335745,-341.3030314,1
4.8,5.2,303.8669917,-346.8197232,1
4.75,5.25,314.3321141,-339.960398,1
5,5,316.7829651,-354.3343472,1
4.8,5.2,318.7500131,-350.5447492,1
4.8,5.2,310.7667534,-346.6689546,1
5,5,315.6892581,-341.7877553,1
5,5,311.7516862,-349.1227971,1
4.8,5,312.1760273,-350.3272154,1
5,5,301.9286736,-353.4072954,1
5,5,307.3011183,-347.9061804,1
4.2,5.4,308.4821569,-345.3157101,1
4.4,5.2,306.8395959,-342.7908662,1
4.6,5,325.203097,-357.46969,1
5,5,324.8000805,-354.7753247,1
4.8,5.2,306.9886784,-343.7348577,1
4.2,5.4,305.6494914,-356.4375858,1
4.8,5.2,298.436997,-354.599063,1
4.6,5,312.5038891,-342.723407,1
5,5,311.7510664,-350.5503269,1
5,5,313.653334,-348.0548335,1
4.4,5.4,314.6407303,-348.3926223,1
4.8,4.8,300.411791,-342.5929618,1
4.8,5,312.8320559,-351.4599146,1
4.2,5,307.4303539,-357.1036655,1
5,5,321.8829874,-355.7106672,1
4.5,5,320.5216519,-344.9170524,1
5,5,303.551537,-330.8097567,1
4.5,5.5,314.5268449,-340.6712502,1
4.6,5.2,341.0282786,-383.7493914,1
5,5,359.5983403,-400.5469079,1
5,-90.25,346.7154158,-393.5796055,1
5,5,329.2552292,-358.5383345,1
5,5,328.2019337,-370.5526216,1
5,5,326.3177884,-353.9630332,1
4.8,5,338.4407402,-362.4597343,1
5,5,329.1056303,-370.6015477,1
4.8,5,328.4285403,-380.3441575,1
4.8,5,330.0601163,-364.2438986,1
4.6,5,350.730788,-404.7990966,1
4.6,5,316.7284868,-366.1930712,1
4.8,5.2,325.3365501,-374.7126407,1
5,5,331.7067196,-361.3739058,1
4.6,5,326.7048071,-367.2477807,1
4.4,5.4,324.252698,-359.6438329,1
5,5.25,314.5261476,-346.7218806,1
5,5,323.9355861,-367.1828373,1
4.8,5.2,329.2249072,-383.2163141,1
4.6,5,321.6742805,-370.0378102,1
4.8,5,319.7112157,-374.9093521,1
4.6,5,332.3823588,-370.524664,1
4.4,5,338.7490493,-372.4725776,1
4.8,5.2,337.8237742,-377.5585238,1
4.6,5,346.0412745,-398.3897542,1
4.833333333,5.166666667,317.8909391,-392.1903966,1
4.666666667,5.166666667,312.2899586,-363.1738304,1
4.6,5.2,315.6945907,-355.7183107,1
4.8,4.8,315.3156191,-355.3324678,1
4.8,5,325.8689995,-355.1380726,1
4.833333333,5,325.5967653,-378.7549834,1
4.6,5.2,317.9676424,-367.709938,1
4.6,4.8,330.9778526,-360.3772679,1
4.5,5,326.0463563,-369.9926172,1
4.833333333,5,340.6166577,-379.8642617,1
4.6,4.8,308.6484738,-342.7532693,1
4.333333333,5,336.6278921,-364.7380955,1
4.666666667,5,343.3065323,-383.4241724,1
4.666666667,5,340.8508176,-391.7909307,1
4.8,5,343.1025957,-373.6720497,1
4.833333333,5,307.8896298,-357.6109704,1
5,5,326.5380707,-365.3143825,1
5,5,327.8784215,-360.5196506,1
4.6,5,319.8735294,-353.4004917,1
4.6,5,310.6614368,-333.1445483,1
5,5,327.8061813,-356.9050243,1
4.833333333,5,323.5388566,-355.7602207,1
4.6,6.2,373.6448697,-415.1809801,1
3.166666667,3.333333333,366.768943,-391.8112733,1
5,5,370.4661216,-401.8628432,1
4.666666667,5,361.1299069,-408.1858644,1
5,5,368.3535657,-408.4412458,1
5,5,367.0256903,-396.9988323,1
4.833333333,4.833333333,354.4341653,-387.1500649,1
4.833333333,5.833333333,337.7443466,-400.6826815,1
4.5,4.833333333,338.8898934,-383.3289299,1
4.857142857,-11.28571429,322.6212887,-393.8626526,1
4.833333333,5,339.5954278,-397.4880874,1
4.571428571,5,323.4775671,-381.7541759,1
4.857142857,5,305.8535651,-359.4243875,1
4.833333333,5,332.5671425,-361.5177606,1
4.666666667,4.833333333,324.2970048,-381.2220091,1
4.833333333,5,334.0981033,-362.5648956,1
4.666666667,5,336.4054953,-379.1131325,1
4.6,5,345.6449739,-375.8008876,1
3,3,330.4324912,-344.3572021,1
4.6,5.2,326.5809503,-350.942673,1
4.6,5,334.7449547,-357.7139133,1
5,5,358.5801824,-376.47608,1
2.5,2.5,381.7800146,-396.5901931,1
4.333333333,5.333333333,351.279089,-379.1263142,1
5,5,361.4758984,-382.355341,1
5,5,351.2480661,-372.2970562,1
5,5,375.5212386,-392.1140772,1
4.8,5,337.695373,-361.7344592,1
5,5,345.3901773,-369.1233157,1
2.5,2.75,348.4366199,-369.2274313,1
4.6,5,342.3543616,-357.6256681,1
4.75,5,347.3199627,-372.4765713,1
4.75,5,348.253057,-377.2180342,1
5,5,352.9001604,-379.0946093,1
5,5,339.1798681,-367.6064489,1
4.8,5,335.2627559,-363.9136457,1
5,5.25,335.7128582,-367.9342486,1
4.75,5.25,318.7027015,-355.4758943,1
4.6,5.2,342.5909514,-371.119246,1
5,5,345.7291319,-373.951491,1
4.8,5.2,338.8847807,-371.6869106,1
4.75,5,356.4594357,-378.8056097,1
4.5,5.25,341.8175239,-365.1411375,1
5,5,343.7266243,-381.6335284,1
5,5,340.6889,-381.2678019,1
4.5,5.25,341.1601467,-376.1445147,1
5,5,339.0647064,-370.7940853,1
5,5,331.1744711,-367.3147713,1
5,5,335.7010346,-366.255911,1
4.5,5.25,332.696109,-370.1627652,1
4.8,5.2,339.1934939,-373.0945843,1
4.75,5,335.3655216,-371.1762241,1
5,5,342.2424149,-374.0211652,1
4.5,5,338.5776204,-374.1724268,1
4.5,5,352.111892,-381.43574,1
4.75,5,355.3636002,-387.1643801,1
4.75,5,355.5933427,-386.8609639,1
4.75,5,348.4468801,-386.7815892,1
5,5,340.5011985,-372.1838197,1
5,5.25,349.9262614,-385.2957584,1
4.75,5,338.3319651,-373.1802881,1
5,5,361.1340586,-397.7392837,1
4.75,5,360.5728973,-394.147628,1
5,5,347.9144745,-383.0073686,1
4.5,5,323.033318,-354.5579827,1
4.75,5,335.0808427,-372.5578638,1
5,5,347.5360557,-391.7735163,1
5,5,350.3671049,-390.9094411,1
4.6,5,330.8300344,-360.5002057,1
4.75,5,328.463632,-368.1669766,1
4.8,5,334.1868173,-390.157951,1
5,5,323.1569896,-371.0715839,1
4.75,5,365.0844503,-398.0820173,1
4.75,5.25,354.3829343,-394.7016861,1
5,5,350.63663,-380.9914385,1
4.6,5.2,341.6407595,-373.4172014,1
4.5,5,351.628279,-383.3974879,1
4.5,5,358.1024042,-388.5525569,1
4.75,5,359.4182214,-390.915181,1
4.75,5,349.781257,-384.8821743,1
